127.0.0.1 - - [30/Sep/2021:11:35:01 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:35:04 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:35:19 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:36:12 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:44:00 +0800] "GET /MyWeb/NewFile.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:44:40 +0800] "GET /MyWeb/NewFile.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:47:51 +0800] "GET /MyWeb/NewFile.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:48:37 +0800] "GET /.NewFile HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:48:49 +0800] "GET /.NewFile.jsp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:11 +0800] "GET /.NewFile.jsp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:12 +0800] "GET /.NewFile.jsp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:17 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:22 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:25 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:49:38 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:50:11 +0800] "GET /MyWeb/NewFile.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:51:24 +0800] "GET /MYWeb/NewFile.jsp HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2021:11:55:56 +0800] "GET /test/NewFile.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/Sep/2021:12:13:29 +0800] "GET /MYWeb/NewFile.jsp HTTP/1.1" 404 1090
